Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
9.835776064599489e+01	3.431051071272457e+02	6.003097108531462e+01	-3.078381170769682e-12	4.713329959175285e+01	8.346036330848606e+07	4.776977666300577e+05	8.353150864725956e+07	-1.568026907221867e+03	2.947607080267716e+04	8.592800807517917e+02	5.835120869510883e+06
1.114603813635897e+02	3.969110316060355e+02	6.700282811389000e+01	-3.204849127542424e-12	4.774407760665955e+01	9.600280847864664e+07	6.351933626251089e+05	9.616635361076711e+07	-1.818841166876473e+03	4.023794283307624e+04	9.945794290395645e+02	6.750187612347463e+06
1.245630020811844e+02	4.502529238524716e+02	7.382203668487975e+01	-3.142868032651480e-12	4.827606628234135e+01	1.082478400377688e+08	8.246147707956225e+05	1.085373663890250e+08	-2.067179033460229e+03	5.237631957613869e+04	1.128787553302076e+03	7.657362650552176e+06
1.376656227987792e+02	5.025503914544103e+02	8.046586371826027e+01	-3.038873639613077e-12	4.873726788049046e+01	1.200788538247636e+08	1.047883481895658e+06	1.205308161803768e+08	-2.310267662931465e+03	6.561866336122202e+04	1.260315054985375e+03	8.546775364870870e+06
1.507682435163740e+02	5.534769793199189e+02	8.693453442311937e+01	-3.070214053546368e-12	4.913390289894170e+01	1.314068133673426e+08	1.307015133187103e+06	1.320603695837580e+08	-2.546290019950939e+03	7.961713300294516e+04	1.388167319197979e+03	9.412873797957759e+06
1.638708642339688e+02	6.027111484666513e+02	9.321929667626620e+01	-3.053812837558351e-12	4.946520538512679e+01	1.421309350127160e+08	1.603175517410299e+06	1.430270943210581e+08	-2.774183588048075e+03	9.371050458923739e+04	1.511544193761881e+03	1.025018959977293e+07
1.769734849515636e+02	6.499256388090859e+02	9.930370245645173e+01	-3.098773307854204e-12	4.973489699602597e+01	1.521869896801420e+08	1.936620277332468e+06	1.533673581454880e+08	-2.991992611151947e+03	1.073107199484223e+05	1.629927221365111e+03	1.105315712260344e+07
1.900761056691584e+02	6.948018520114339e+02	1.051665563156753e+02	-3.032957908147419e-12	4.994584913682130e+01	1.615087384509959e+08	2.306370734684802e+06	1.630143283661919e+08	-3.197782909728282e+03	1.197429388971100e+05	1.742351700759964e+03	1.181635802740526e+07
2.031787263867531e+02	7.371619796296557e+02	1.107987079283154e+02	-2.938910312782207e-12	5.010086209223235e+01	1.700442772011231e+08	2.711251263066522e+06	1.719151049309125e+08	-3.391117082337611e+03	1.302869647307389e+05	1.848160866087478e+03	1.253676836104845e+07
2.162813471043479e+02	7.768272760775698e+02	1.161847187982614e+02	-2.887323541662568e-12	5.020204523271181e+01	1.777505989255967e+08	3.148817597406660e+06	1.800243063062310e+08	-3.571660234595907e+03	1.381433707101894e+05	1.946906077760767e+03	1.321134823261157e+07
2.293839678219427e+02	8.136090574810279e+02	1.213022503625172e+02	-2.848401836273164e-12	5.025177513056462e+01	1.845929276867526e+08	3.615059223522691e+06	1.873030577604342e+08	-3.737416149035743e+03	1.425059543114629e+05	2.038061290644853e+03	1.383688873267032e+07
2.424865885395375e+02	8.473411638839831e+02	1.261265208736071e+02	-2.836591175440314e-12	5.025317110731751e+01	1.905477686359319e+08	4.104506859868854e+06	1.937221780895683e+08	-3.888564681976099e+03	1.426340138598657e+05	2.120971824428147e+03	1.441056401163207e+07
2.555892092571322e+02	8.779420807914030e+02	1.306389791057764e+02	-2.804012638579449e-12	5.021024844901005e+01	1.956016497780756e+08	4.611014515776806e+06	1.992617654427681e+08	-4.023648089612124e+03	1.379168457707181e+05	2.196097756182661e+03	1.493098776856090e+07
2.686918299747270e+02	9.053511215367367e+02	1.348184583425763e+02	-2.782699392435846e-12	5.012747032794987e+01	1.997567251230200e+08	5.126987045909344e+06	2.039159547907094e+08	-4.143490147899432e+03	1.278763211103719e+05	2.262473054654547e+03	1.539712791729100e+07
2.817944506923218e+02	9.295227055025141e+02	1.386404656147008e+02	-2.699340639712306e-12	5.000996304105869e+01	2.030285131123679e+08	5.643171705467477e+06	2.076904370553964e+08	-4.247334243778151e+03	1.122335924618639e+05	2.320815598314248e+03	1.580820927725316e+07
2.948970714099166e+02	9.504897585763567e+02	1.420873628771755e+02	-2.629379506258982e-12	4.986563707524982e+01	2.054858755597945e+08	6.150010461842863e+06	2.106437433041161e+08	-4.336405209714361e+03	9.126539467946540e+04	2.370943930075820e+03	1.616479181252256e+07
3.079996921275113e+02	9.684631086141503e+02	1.451664686713746e+02	-2.578996095870918e-12	4.970591501836021e+01	2.072897070979337e+08	6.640765373848335e+06	2.129292430788563e+08	-4.412305693852872e+03	6.607266585336773e+04	2.413483680271528e+03	1.647046103085237e+07
