mission,N_laps,position,velocity,acceleration,time,throttle,thrust,loadfactor,AOA,climb_pitch_angle,bank_angle,phase,battery_SoC,battery_voltage,Amps,motor_input_power
0,4,[-79.66770263  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],126.89999999999706,0.5914348863514133,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.83121315125115,22.812,20.065012551485648,0
0,4,[-77.16774296  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],126.99999999999706,0.5914348863514133,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.80575863749714,22.812,20.065012551485648,0
0,4,[-74.66778328  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.09999999999705,0.5914348863514133,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.78030412374313,22.812,20.065012551485648,0
0,4,[-72.16782361  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.19999999999705,0.5914348863514133,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.75484960998912,22.812,20.065012551485648,0
0,4,[-69.66786394  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.29999999999704,0.5914348863514133,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.72939509623512,22.812,20.065012551485648,0
0,4,[-67.16790427  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.39999999999704,0.5914348863514133,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.70394058248112,22.812,20.065012551485648,0
0,4,[-64.6679446   50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.49999999999703,0.5914348863514133,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.67848606872711,22.80460475480356,20.065012551485648,0
0,4,[-62.16798493  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.59999999999702,0.5916266812125531,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.65303980687433,22.799999999999997,20.065012551485648,0
0,4,[-59.66802526  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.69999999999702,0.5917461678705457,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.62759868318542,22.799999999999997,20.065012551485648,0
0,4,[-57.16806559  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],127.79999999999701,0.5917461678705457,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.60215755949651,22.799999999999997,20.065012551485648,0
